title,job_id,location,url,apply_url
Data Scientist,27471,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Data-Scientist/27472?jobId=27472,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27472&source=Delta+Career+Site
Engineer Hangar Demand Planning,27449,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Engineer-Hangar-Demand-Planning-2026/27449?jobId=27449,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27449&source=Delta+Career+Site
Engineering Leader,27550,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Engineering-Leader/27551?jobId=27551,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27551&source=Delta+Career+Site
Engineering Leader,27481,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Engineering-Leader/27482?jobId=27482,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27482&source=Delta+Career+Site
Engineering Leader,27332,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Engineering-Leader/27332?jobId=27332,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27332&source=Delta+Career+Site
HR SysOps Lead Specialist (SAP Payroll),27442,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/HR-SysOps-Lead-Specialist-SAP-Payroll/27442?jobId=27442,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27442&source=Delta+Career+Site
HR SysOps Lead Specialist (SAP Time Management),27441,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/HR-SysOps-Lead-Specialist-SAP-Time-Management/27441?jobId=27441,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27441&source=Delta+Career+Site
Lead AI and ML Engineer,27482,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-AI-and-ML-Engineer/27483?jobId=27483,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27483&source=Delta+Career+Site
Lead Software Development Engineer,27264,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Android/27264?jobId=27264,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27264&source=Delta+Career+Site
Lead Data Scientist,27421,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Data-Scientist/27421?jobId=27421,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27421&source=Delta+Career+Site
Lead Developer,27424,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Developer/27424?jobId=27424,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27424&source=Delta+Career+Site
Lead Development Engineer,27562,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Development-Engineer-Agentic-AI/27563?jobId=27563,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27563&source=Delta+Career+Site
Lead Development Engineer,27529,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Development-Engineer-Gen-AI/27530?jobId=27530,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27530&source=Delta+Career+Site
Lead Development Engineer,27553,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Development-Engineer-Gen-AI-C1/27554?jobId=27554,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27554&source=Delta+Career+Site
Lead Development Engineer,27604,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Development-Engineer-Gen-AI-C4/27605?jobId=27605,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27605&source=Delta+Career+Site
Lead Development Engineer,27554,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Development-Engineer-Gen-AI-C2/27555?jobId=27555,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27555&source=Delta+Career+Site
Lead Development Engineer,27555,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Development-Engineer-Gen-AI-C3/27556?jobId=27556,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27556&source=Delta+Career+Site
Lead Systems Analyst,27433,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Product-Owner-HR-SysOps/27433?jobId=27433,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27433&source=Delta+Career+Site
Lead Salesforce Administrator & Release Manager,27503,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-Salesforce-Administrator-Release-Manager/27504?jobId=27504,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27504&source=Delta+Career+Site
Lead Quality Engineer,27411,"India, Bangalore.",https://dth.avature.net/en_US/careers/JobDetail/Lead-SDET-7-VAA/27411?jobId=27411,https://dth.avature.net/en_US/careers/ApplicationMethods?jobId=27411&source=Delta+Career+Site
