title,job_id,designation,location,experience,skills,posted_date,url
SENIOR ENGINEER,264994,SENIOR ENGINEER,"Greater Noida, Uttar Pradesh, India",2.0 to 6.0 Years ,Core JAVA,06-Jan-2026,https://careers.coforge.com/job/senior-engineer-greater-noida-2026010609442854
SENIOR ASSOCIATE - INFRASTRUCTURE,7552-AM-BLR4-FM-1-1,SENIOR ASSOCIATE,"Bengaluru, Karnataka, India",3 to 10 Years ,other Lab systems,09-Jun-2026,https://careers.coforge.com/job/senior-engineer-bangalore-202606121111008
SOLUTIONS ARCHITECT,221683,PRACTICING ARCHITECT,"Greater Noida, Uttar Pradesh, India",10.0 to 15.0 Years ,Sales & Service Analytics,07-Mar-2025,https://careers.coforge.com/job/data-architect-greater-noida-2025030702301979
Guidewire Claims Developer,287635,TECHNICAL LEAD,"Mumbai, Maharashtra, India",8.0 to 12.5 Years ,"Guidewire - Claim centre,Zephyr",23-Apr-2026,https://careers.coforge.com/job/senior-technical-lead-greater-noida-2026042312212185
SAP BODS Consultant,10444-BLR-ERP-ONBD-10-2,SENIOR ENGINEER,"Bengaluru, Karnataka, India",3 to 5yrs Years ,SAP BODS,08-Jul-2026,https://careers.coforge.com/job/senior-engineer-bangalore-2026070814211976
Senior Project Manager- Application Development- Insurance Domain,288238,PROJECT HEAD,"Greater Noida, Uttar Pradesh, India",10.0 to 15.0 Years ,"Program Management,SALESFORCE INTEGRATION DEVELOPER",04-May-2026,https://careers.coforge.com/job/project-manager-greater-noida-2026050410004320
TECHNICAL LEAD,286517,TECHNICAL LEAD,"Pune, Maharashtra, India",2.0 to 6.0 Years ,"SAP PI (CORE),SAP MDM",13-Apr-2026,https://careers.coforge.com/job/senior-engineer-bengaluru-202604131141423
Duck Creek Billing Developer / Lead,006fu00000PxcAvAAJ-2-1,TECHNICAL LEAD,"Noida, Uttar Pradesh, India",5 to 7yrs Years ,Duck Creek Billing,01-Jun-2026,https://careers.coforge.com/job/technical-lead-noida-2026060118415482
Guidewire Policy Center developer,14789-DIS-PUNE-TM-3-1,TECHNICAL LEAD,"Hyderabad, Telangana, India",3 to 5yrs Years ,"GUIDEWIRE POLICY CENTER,GUIDEWIRE RATING DEVELOPER,Postman",01-Jun-2026,https://careers.coforge.com/job/senior-team-member-pune-2026060117203637
TECHNICAL ARCHITECT,006IS0000034hbgYAA-3-1,ARCHITECT,"Greater Noida, Uttar Pradesh, India",7 to 10yrs Years ,Java8+,19-Jun-2026,https://careers.coforge.com/job/technical-architect-greater-noida-2026061912425294
Business Analyst,006fu00000U6FrAAAV-1-1,LEAD ANALYST,"Greater Noida, Uttar Pradesh, India",5 to 7yrs Years ,"Insurance Industry,Life Insurance Basic Concepts,Annuity",29-Jun-2026,https://careers.coforge.com/job/associate-consultant-greater-noida-2026062911581356
SENIOR ENGINEER,006fu00000JtVPtAAN-16-1,SENIOR ENGINEER,"Hyderabad, Telangana, India",3 to 5yrs Years ,GUIDEWIRE POLICY CENTER,15-Jul-2026,https://careers.coforge.com/job/senior-engineer-greater-noida-2026071514035388
TECHNICAL LEAD,259755,TECHNICAL LEAD,"Bengaluru, Karnataka, India",5.5 to 9.5 Years ,Core JAVA,19-Nov-2025,https://careers.coforge.com/job/technical-lead-bangalore-2025111912311784
SENIOR TECHNICAL ARCHITECT,256340,PRACTICING ARCHITECT,"Hyderabad, Telangana, India",10.0 to 15.0 Years ,PEga Case Management,23-Oct-2025,https://careers.coforge.com/job/technical-architect-hyderabad-202510231940546
Duckcreek Billing Dev &  Lead,288840,ARCHITECT,"Bhubaneswar, Odisha, India",5.5 to 9.5 Years ,Duck Creek Billing,30-Apr-2026,https://careers.coforge.com/job/technical-lead-greater-noida-2026043014103097
