job_id,title,location,team,experience,employment_type,craft,url
2026-144968,Manager Technology | Python,"Gurgaon, Haryana, India",Technology and Engineering,Senior Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-144968-1056957-manager-technology---python-gurgaon
2026-144968,Manager Technology | Python,"Bengaluru, Karnataka, India",Technology and Engineering,Senior Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-144968-1056958-manager-technology---python-bengaluru
2026-144968,Manager Technology | Python,"Pune, Maharashtra, India",Technology and Engineering,Senior Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-144968-1056959-manager-technology---python-pune
2026-144968,Manager Technology | Python,"Hyderabad, Telangana, India",Technology and Engineering,Senior Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-144968-1056960-manager-technology---python-hyderabad
2026-150989,Senior Manager Technology | Python,"Gurgaon, Haryana, India",Technology and Engineering,Senior Level,Others,General Tech,https://careers.publicissapient.com/job-details/2026-150989-1056961-senior-manager-technology---python-gurgaon
2026-150989,Senior Manager Technology | Python,"Hyderabad, Telangana, India",Technology and Engineering,Senior Level,Others,General Tech,https://careers.publicissapient.com/job-details/2026-150989-1056962-senior-manager-technology---python-hyderabad
2026-150989,Senior Manager Technology | Python,"Pune, Maharashtra, India",Technology and Engineering,Senior Level,Others,General Tech,https://careers.publicissapient.com/job-details/2026-150989-1056963-senior-manager-technology---python-pune
2026-150989,Senior Manager Technology | Python,"Noida, Uttar Pradesh, India",Technology and Engineering,Senior Level,Others,General Tech,https://careers.publicissapient.com/job-details/2026-150989-1056964-senior-manager-technology---python-noida
2026-166102,Senior Associate Technology L1_Python,"Bengaluru, Karnataka, India",Technology and Engineering,Associate Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-166102-1081025-senior-associate-technology-l1-python-bengaluru
2026-166102,Senior Associate Technology L1_Python,"Pune, Maharashtra, India",Technology and Engineering,Associate Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-166102-1081026-senior-associate-technology-l1-python-pune
2026-166102,Senior Associate Technology L1_Python,"Hyderabad, Telangana, India",Technology and Engineering,Associate Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-166102-1081027-senior-associate-technology-l1-python-hyderabad
2026-166102,Senior Associate Technology L1_Python,"Noida, Uttar Pradesh, India",Technology and Engineering,Associate Level,Full-time,General Tech,https://careers.publicissapient.com/job-details/2026-166102-1081028-senior-associate-technology-l1-python-noida
