title,role,location,experience,skills,apply_id
Senior Automation Engineer,Lead Software Engineer,"Bangalore, India",,DA-WebSeleniumJava.,creq265961
Senior Java Fullstack Developer,Lead Software Engineer,"Hyderabad, India",,"DE-Full Stack_Spring Data, Postgresql.",creq266058
Senior Fullstack Developer,Lead Software Engineer,"Hyderabad, India",,"DE-Full Stack_Spring Data, Postgresql.",creq266056
Python AI,Lead Software Engineer,"Bangalore, India",,AILab-GENAI-Azure.,creq265965
Pega Senior Systems Architect,Senior Software Engineer,"Chennai, India",,Pega-Pega Platform Skills.,creq264464
Servicenow,Architect (Level: Manager),"Hyderabad, India",,SN-Human Resources.,creq257279
Databricks Platform Engineer,Lead Software Engineer,"Bangalore, India",,"Data-Databricks with Azure Native Services, Spark,Python/Scala/Java,Kafka,HDFS, Hive.",creq264037
Cloud Platform Administrator,Lead Software Engineer,"Bangalore, India",,AIMS-CloudOps-Others.,creq264083
Agentic AI & MLops Enginee,Lead Software Engineer,"Bangalore, India",,Data-Model Life Cycle Management (MLOps).,creq264079
Agentic AI Engineer,Lead Software Engineer,"Bangalore, India",,AILab-GENAI-Azure.,creq264077
Databricks Data Engineer,Lead Software Engineer,"Bangalore, India",,"Data-Databricks with Azure Native Services, Spark,Python/Scala/Java,Kafka,HDFS, Hive.",creq264064
Authentication Engineer Cybersecurity,Lead Software Engineer,"Hyderabad, India",,AIMS-CIS-GCP-Infra.,creq265017
Product Owner - Cybersecurity,Architect (Level: Manager),"Hyderabad, India",,CS-BA-Product.,creq265000
Tech Lead,Lead Software Engineer,"Hyderabad, India",,DE-Service Dev Foundation.,creq259229
Senior PL/SQL Developer,Lead Software Engineer,"Hyderabad, India",,"Data-PL/SQL,RDBMS databases, SQL scripts  .",creq262999
Golang Kubernetes,Lead Software Engineer,"Bangalore, India",,"DE-Python_API Layer (with NoSQL DBs), DevOps.",creq261408
Snaplogic Developer,Lead Software Engineer,"Chennai, India",,"Data-Fivetran with Snowflake,DBT,BigQuery, Spark, GCP data services, cloud storage,DBT, pipeline orchestration.",creq263859
Senior Architect,Systems Architect (Level: Senior Manager),"Pune, India",,"Data-Other ELT/ETL Tools with Python/Scala/Java/.NET, ANSI SQL compliant, Traditional Or Cloud DB, Pipeline orchestration.",creq263342
Enterprise Architect,Architect (Level: Manager),"Chennai, India",,AILab-GENAI-AWS.,creq265311
HPC Infrastructure Engineer,Architect (Level: Manager),"Chennai, India",,"Data-Fivetran with Snowflake,DBT,BigQuery, Spark, GCP data services, cloud storage,DBT, pipeline orchestration.",creq265281
