title,role,location,experience,skills,apply_id
Gen AI Developer,Technology Analyst,BANGALORE,3,"Technology->AI-Generative AI->Generative AI for Data Analytics,Technology->AI-Generative AI->Conversational AI Platform,Technology->AI-AI Engineering->AI/ML Solution Architecture and Design->generative ai,Technology->AI-Generative AI->Generative AI - Basic,Technology->AI-Data science->Machine Learning,Technology->AI-Data science->Databricks Machine Learning,Technology->SAP Industry Solution->SAP Ind Machinery & components,Technology->AI-AI Hyperscalers->Azure Agentic AI Services->Azure Machine Learning,Technology->AI-AI Engineering->LLMOps",247453
.NET Core Developer,Technology Analyst,BANGALORE,3,Technology->Microsoft Technologies->.NET Frameworks->.NET Core,247442
Java AI Developer,Technology Analyst,PUNE                     ,3,"Technology->Java->Java Application Support,Technology->AI-Responsible AI->Responsible AI",247440
Oracle Fusion Financials Consultantinta,Associate Business Analyst,BANGALORE,1,"Oracle Finance->Oracle Cloud Finance,Oracle Finance->Oracle Fusion Finance",247395
IT Delivery,Technology Analyst,HYDERABAD,3,"Domain->Finacle-IVS->Automation testing,Technology->Mobile Automation Testing->Mobile Test Automation process,Technology->Mobile Testing->Mobile Automation Testing",247365
Java AI Developer,Technology Analyst,BANGALORE,3,"Technology->AI-Responsible AI->Responsible AI->ethical ai,Technology->Java->Core Java",247327
Python Gen AI Developer,Technology Analyst,CHENNAI,3,"Technology->OpenSystem->Python - OpenSystem->Python,Technology->AI-Responsible AI->Responsible AI->ethical ai",247326
Python Gen AI Developer,Technology Analyst,PUNE                     ,3,"Technology->OpenSystem->Python - OpenSystem->Python,Technology->AI-Responsible AI->Responsible AI->ethical ai",247325
Python Gen AI Developer,Technology Analyst,BANGALORE,3,Technology->OpenSystem->Python - OpenSystem,247324
Agentic AI Engineer,Associate Business Analyst,BANGALORE,1,"Technology->AI-Agentic AI->Agent Engineering,Technology->AI-Agentic AI->AgentOps,Technology->AI-Agentic AI->Google Cloud – Contact Center AI,Technology->AI-AI Hyperscalers->AWS Agentic AI Services,Technology->AI-AI Hyperscalers->Azure Agentic AI Services,Technology->AI-AI Hyperscalers->Google Agentic AI Services,Technology->OpenSystem->Python - OpenSystem->Python",247288
"Application Support, System Administration & Monitoring Tools",Technology Analyst,HYDERABAD,3,"Technology->Application Support - Middleware->Application Support - Middleware,Technology->Infrastructure-Server Administration->Linux Admin,Technology->Server-OperatingSystemAdministration->Windows Server Admin->Windows",247263
Workflow Agents & Automation - Linux & Windows,Technology Analyst,HYDERABAD,3,"Technology->K2->Workflow,Technology->Open System->Linux,Technology->Server-OperatingSystemAdministration->Windows Server Admin->Windows",247262
Platform Risk & Compliance Engineering Lead,Technology Analyst,HYDERABAD,3,"Foundational->Governance_COBIT->Risk,Foundational->SDLC->Problem Analysis,Domain->Compliance Services->Cloud Compliance Assessments,Foundational->Service Management->Service Transition->ITIL",247219
"Nutanix AOS, VM ware",Technology Analyst,HYDERABAD,3,"Technology->Hyperconverged Infrastructure->Nutanix,Technology->Server-Virtualization->Vmware-vSphere->Vmware,Technology->Server-Virtualization->Vmware-ESX->Vmware",247217
"Vulnerability Management, CIS and STIG",Technology Analyst,HYDERABAD,3,"Technology->Application Security->Vulnerability Management,Technology->Utilities Customer Services->CIS,Technology->Infrastructure Vulnerability Management->Container security",247213
Rubrik for Backup & Recovery,Technology Analyst,HYDERABAD,3,"Technology->Backup Administration->Backup Technologies,Technology->Cloud Platform->Azure Networking Services->Azure Backup and Site Recovery",247209
SCCM for patch deployment,Technology Analyst,HYDERABAD,3,"Technology->EUC-Patching_and_Distribution->SCCM,Technology->EUC->Patching and Distribution",247207
CA ESP Scheduling & File Transfers,Technology Analyst,HYDERABAD,3,"Technology->BPMI - B2B->Managed File Transfer-All,Technology->BPMI - IBM->BPMI - IBM - ALL->IBM Sterling File Gateway,Technology->Mainframe Technologies->Mainframe Technologies- ALL->Connect Direct(File transfer utility)",247206
CA-ESP/Workload Automation,Technology Analyst,HYDERABAD,3,"Technology->Infrastructure- Batch Scheduler->CA Workload Automation,Technology->Mainframe Technologies->Mainframe Technologies- ALL->Workload Manager (WLM)",247199
Python Automation Engineer with DevOps Background + Pytest,Technology Analyst,HYDERABAD,3,"Technology->Automated Testing->Selenium-Python,Technology->DevOps->Continuous Testing",247183
"GenAI, Cloud & Backend Development (AWS/Azure, Python, APIs, ServiceNow)",Technology Analyst,HYDERABAD,3,"Technology->AI-Generative AI->Generative AI for Data Analytics,Technology->AI-Data science->PYTHON,Technology->Cloud Platform->Azure Devops,Technology->Cloud Platform->Amazon Webservices DevOps->AWS DevOps",247179
SSIS Developer,Associate Consultant,HYDERABAD,2,Technology->Business Intelligence - Integration->MSBI (SSIS),247106
Ab Initio Admin + Developer Knowledge,Associate Consultant,HYDERABAD,2,Technology->Data Management - Data Integration Administration->Ab Initio Administration,247099
"AIX 7.2 admin, LPAR",Technology Analyst,HYDERABAD,3,Technology->Open System->AIX,247093
Container & Infrastructure Automation,Technology Analyst,HYDERABAD,3,"Technology->Infrastructure-Server Administration->Unix Server administration (HP-UX,IBM-AIX, Sun Solaris, Redhat Linux),Technology->DevOps->Continuous delivery - Environment management and provisioning->Redhat Openshift,Technology->Infrastructure Testing->Infrastructure Testing - ALL",247090
"Terraform, Ansible, Python/PowerShell & Infrastructure Automation",Technology Analyst,HYDERABAD,3,"Technology->Infrastructure Testing->Infrastructure Testing - ALL,Technology->Cloud Platform->Terraform,Technology->Devops->Ansible,Technology->OpenSystem->Python - OpenSystem,Technology->Infrastructure-Transformation->Network Automation 9.x",247027
