title,role,location,experience,skills,apply_id
Full stack Developer (Python with React),Technology Analyst,BANGALORE,3,"Technology->OpenSystem->Python - OpenSystem->Python,Technology->Reactive Programming->react JS",246076
Python - Data Processing,Associate Consultant,BANGALORE,2,"Technology->AI-Data science->PYTHON,Technology->OpenSystem->Python - OpenSystem->Django",246072
Python Django,Technology Analyst,BANGALORE,3,Technology->OpenSystem->Python - OpenSystem->Django,246069
AWS Developer,Technology Analyst,BANGALORE,3,"Technology->Cloud Platform->Amazon Webservices DevOps->AWS DevOps,Technology->Reactive Programming->NodeJS,Technology->Big Data - NoSQL->MongoDB",246065
AWS Admin-Terraform-IDQ/Atacamma(Data Quality tool),Associate Consultant,HYDERABAD,2,"Technology->Cloud Platform->Amazon Webservices DevOps->Amazon CloudShell,Technology->Cloud Platform->Terraform",246060
Intershop AI,Technology Analyst,TRIVANDRUM               ,3,"Technology->Digital Commerce->E-Commerce Platforms->Intershop,Technology->AI-Responsible AI->Responsible AI",246056
Python-ML-MLOps,Technology Analyst,BANGALORE,3,"Technology->AI-Data science->PYTHON,Technology->AI-Physical AI-IOT->IOT Analytics - Machine Learning",246057
Salsify Developer,Technology Analyst,BANGALORE,3,Technology->Digital Commerce->E-Commerce Platforms->Salsify (PIM),246053
Java Full Stack developer with React and NodeJS,Technology Analyst,HYDERABAD,3,"Technology->Full stack->Java Full stack,Technology->Reactive Programming->react JS,Technology->Reactive Programming->NodeJS",246052
Open Text Developer,Technology Analyst,HYDERABAD,3,"Technology->Content Management->ECM - Documentum,Technology->Content Management->Opentext CMS,Technology->Content Services (CS)->CS - Document and Records Management Platform",246048
Vue.js Developer,Technology Analyst,PUNE                     ,3,Technology->UI & Markup Language->Vue.js,246047
Devops Engineer,Technology Analyst,BANGALORE,3,"Technology->Cloud Platform->GCP Devops,Technology->Devops->Ansible,Technology->Container Platform->Kubernetes,Technology->Cloud Platform->Terraform,Technology->Integration->Confluent Kafka,Technology->Groovy->Grails",246045
Alteryx-TM1,Technology Analyst,BANGALORE,3,Technology->DataAnalytics->Alteryx,246043
Ab Initio Developer,Associate Consultant,HYDERABAD,2,Technology->Data Management - Data Integration->Ab Initio,246039
Java Fullstack Developer (React),Technology Analyst,BANGALORE,3,"Technology->Full stack->Java Full stack,Technology->Reactive Programming->react JS",246037
Documentum,Technology Analyst,BANGALORE,3,Technology->Enterprise Portals and Content Management Administration->Documentum->Documentum,246034
Smartcomm engineer,Technology Analyst,HYDERABAD,3,Technology->Customer Communication Management->SmartCommunications,246238
Sitecore XP developer,Technology Analyst,BANGALORE,3,Technology->Digital Marketing->Sitecore,246031
Quadient Inspire Scaler developer,Technology Analyst,BANGALORE,3,Technology->Content Services (CS)->CS - Customer Experience Management Platform->Quadient Inspire,246029
Fullstack Developer,Technology Analyst,HYDERABAD,3,"Technology->Reactive Programming->react JS,Technology->Reactive Programming->NodeJS",246027
Pega Test Engineer,Technology Analyst,BANGALORE,3,Technology->Package Testing->PEGA Testing,246026
Mainframe Developer,Technology Analyst,BANGALORE,3,Technology->Mainframe Technologies->Mainframe Technologies- ALL,246024
Nextjs Developer,Technology Analyst,BANGALORE,3,"Technology->Reactive Programming->NextJS,Technology->UI & Markup Language->TypeScript",246023
Java Springboot Developer,Technology Analyst,BANGALORE,3,Technology->Java->Springboot,246020
IBM filenet Developer,Technology Analyst,HYDERABAD,3,Technology->Enterprise Content Management->IBM FileNet,246018
"Adobe Workfront, Fusion",Technology Analyst,BANGALORE,3,Technology->AI-Package AI-Workfusion->Usage and implementation of Workfusion tool->Work fusion,246017
Reactjs Developer,Technology Analyst,PUNE                     ,3,"Technology->UI & Markup Language->TypeScript,Technology->Reactive Programming->react JS",246014
Sitecore Developer,Technology Analyst,BANGALORE,3,Technology->Digital Marketing->Sitecore,246012
Java Angular developer,Technology Analyst,BANGALORE,3,"Technology->UI & Markup Language->ANGULARJS2,Technology->Reactive Programming->react JS,Technology->Java->Springboot",246008
Computer Vision,Technology Analyst,BANGALORE,3,Technology->AI-Data science->Computer Vision,246005
AS400 Developer,Technology Analyst,BANGALORE,3,Technology->AS/400 technologies->AS400 hardware setup,245999
Salesforce Test Engineer,Technology Analyst,BANGALORE,3,Technology->Package Testing->SFDC Testing,245997
Performance Test Engineer,Technology Analyst,BANGALORE,3,"Technology->Performance Testing->Load Runner,Technology->Performance Testing->Jmeter",245994
Python Test Engineer,Technology Analyst,BANGALORE,3,Technology->Automated Testing->Selenium-Python,245983
Mobile Testing Engineer,Technology Analyst,BANGALORE,3,"Technology->Mobile Testing->Mobile Automation Testing,Technology->Mobile Testing->Mobile Testing - ALL",245985
Playwright test engineer,Technology Analyst,BANGALORE,3,"Technology->Automated Testing->Playwright Typescript,Technology->Automated Testing->Playwright Javascript",245980
Automation Test Engineer,Technology Analyst,BANGALORE,3,Technology->Automated Testing->Selenium-Java,245979
.Net Angular Developer,Technology Analyst,BANGALORE,3,"Technology->Microsoft Technologies->.NET Frameworks,Technology->UI & Markup Language->ANGULARJS2,Technology->Reactive Programming->react JS",245977
ETL Test Engineer,Technology Analyst,BANGALORE,3,"Technology->ETL & Data Quality->ETL - Others,Technology->Data Services Testing->Data Warehouse Testing",245975
API test engineer,Technology Analyst,BANGALORE,3,Technology->API Testing->Postman,245976
Embedded Browser Engineer,Technology Analyst,BANGALORE,2,"Technology->Media->Settop Box, DVB,Technology->Open System->C and C++,Domain->Network->Data networking network management,Technology->Open System->Linux",245938
ETL/DWT Test Engineer,Technology Analyst,HYDERABAD,3,"Technology->ETL & Data Quality->ETL - Others,Technology->Data Services Testing->Data Warehouse Testing,Technology->Data Services Testing->Big Data Testing",245923
Mobile Test engineer,Technology Analyst,HYDERABAD,3,"Technology->Mobile Testing->Mobile Testing - ALL,Technology->Mobile Testing->Mobile Automation Testing",245922
SFDC Test Engineer,Technology Analyst,HYDERABAD,3,Technology->Package Testing->SFDC Testing,245921
API Test engineer,Technology Analyst,HYDERABAD,3,"Technology->API Testing->Postman,Technology->API Testing->RestAssured",245917
Performance Test Engineer,Technology Analyst,BANGALORE,3,"Technology->Performance Testing->Load Runner,Technology->Performance Testing->Jmeter",245912
ETL/DWT Test Engineer with SQL,Technology Analyst,BANGALORE,3,"Technology->ETL & Data Quality->ETL - Others,Technology->Analytics - Solutions->SQL Server - Analytics->SQL",245910
Playwight test analyst,Technology Analyst,BANGALORE,3,"Technology->Automated Testing->Playwright Typescript,Technology->Automated Testing->Selenium-Java",245909
Mobile Test engineer,Technology Analyst,BANGALORE,3,"Technology->Mobile Testing->Mobile Testing - ALL,Technology->Mobile Testing->Mobile Automation Testing",245907
Oracle Cloud PLM Consultant,Associate Consultant,BANGALORE,2,Technology->Oracle Cloud->PLM,245900
SAP PLM FUNCTIONAL CONSULTANT,Associate Consultant,BANGALORE,2,Technology->SAP Functional->S4 HANA - Finance,245896
IT Consulting,Associate Consultant,BANGALORE,2,"Technology->Identity and Access Governance->Sailpoint IIQ,Technology->IDAM->Entra ID,Technology->Data Security->Data Leak Prevention->RSA DLP,Technology->Data Security->Public Key Infrastructure, Digital Signatures, Cryptography, Transport Layer Security->Entrust Pki",245892
Performance Test Engineer,Technology Analyst,CHENNAI,3,"Technology->Performance Testing->Load Runner,Technology->Performance Testing->Jmeter",245890
Finacle Technology Developer,Technology Analyst,BANGALORE,3,Domain->Finacle-Core-Functional->Finacle-Core-Payments,245872
Enterprise Architect,Associate Consultant,BANGALORE,2,"Technology->Enterprise Architecture->Digital Architecture,Technology->Risk Management->Risk Management System,Technology->Privilege Access Management->CyberArk PAM,Technology->Identity Management->Privileged User Management->CyberArk,Technology->Infrastructure Security->Cloud Security",245871
Infrastructure Security and Data Security Engineers,Associate Consultant,BANGALORE,2,"Domain->Network->Network Security Firewall & Policies,Technology->Network-Firewall_and_Media->Palo Alto,Technology->IDAM->Entra ID,Technology->IDAM->Saviynt,Technology->Identity Management->IDAM-Design , work flow , Implementation,Technology->Identity and Access Governance->Sailpoint IIQ,Technology->Identity and Access Governance->Sailpoint ISC/IDN,Technology->Data Security->Public Key Infrastructure, Digital Signatures, Cryptography, Transport Layer Security->Entrust Pki",245870
"Application packaging & deployment ,SCCM",Technology Analyst,HYDERABAD,3,Foundational->Enterprise Package Processes->Application Performance Monitoring (APM) Integration,245805
"Endpoint automation,SCCM",Technology Analyst,HYDERABAD,3,"Technology->EUC-Patching_and_Distribution->SCCM,Technology->EUC-Security->Symantec End Point Protection",245804
"IaC & automation, Servicenow",Technology Analyst,HYDERABAD,3,"Technology->Infra_ToolAdministration-Automation->BMC-Automation->Servicer Automation,Technology->Infra_ToolAdministration-ITSM->ServiceNow-ITOM",245803
IT Consulting,Associate Consultant,BANGALORE,2,"Technology->Privilege Access Management->CyberArk PAM,Technology->Data Security->Public Key Infrastructure, Digital Signatures, Cryptography, Transport Layer Security->Entrust Pki,Technology->Network-Firewall_and_Media->Juniper-Firewall->firewall,Technology->IDAM->Entra ID,Technology->Enterprise Mobility Solution->MS Azure AD, MS Azure RMS, MS Intune",245802
"IaC & automation, Nutanix",Technology Analyst,HYDERABAD,3,"Technology->Hyperconverged Infrastructure->Nutanix,Technology->Devops->Ansible,Technology->Cloud Platform->Terraform",245801
IT Consulting,Associate Consultant,BANGALORE,2,"Technology->Network-Firewall_and_Media->Juniper-Firewall->firewall,Technology->Privilege Access Management->CyberArk PAM",245800
IT Consulting,Associate Consultant,HYDERABAD,2,"Technology->IDAM->Entra ID,Technology->Data Security->Public Key Infrastructure, Digital Signatures, Cryptography, Transport Layer Security->Entrust Pki,Technology->Privilege Access Management->CyberArk PAM,Technology->Enterprise Mobility Solution->MS Azure AD, MS Azure RMS, MS Intune,Technology->Infra_ToolAdministration-Others->Splunk Admin,Technology->Infrastructure Security->SOC Operations,Technology->Infrastructure Security->Secure Web Gateway->Zscaler ZIA,Technology->Network-Firewall_and_Media->Juniper-Firewall->firewall",245799
"Infrastructure automation,Nutanix,SCCM",Technology Analyst,HYDERABAD,3,"Technology->EUC-Patching_and_Distribution->SCCM,Technology->Hyperconverged Infrastructure->Nutanix,Technology->Infrastructure-Server Administration->Cloud Infrastructure",245798
Application Security and Vulnerability Management Experts,Associate Consultant,BANGALORE,2,"Application Security,Application Security->Application Risk Profiling,Application Security->Burpsuite,Application Security->Devsecops,Application Security->Ethical Hacking(CEH),Application Security->Nessus,Application Security->SSL(Secure Sockets Layer),Application Security->Threat Modeling,Application Security->Vulnerability Assessment/Penetration Testing,Application Security->Vulnerability Management,Application Security->Web Security,Application Security->Webservices Security,Application Security->Wireshark,Security testing->Vulnerability testing,Technology->Application Security->Vulnerability Management->Qualys,Technology->Application Security->Vulnerability Management->Rapid 7 Nexpose,Vulnerability Management",245797
Cloud Security Experts,Associate Consultant,BANGALORE,2,"Technology->Cloud Platform->GCP Core Services->GCP,Technology->Infrastructure Security->Virtual Private Network, Firewall->Cisco",245796
Firewall Engineer,Associate Consultant,BANGALORE,2,"Technology->Infrastructure Security->Virtual Private Network, Firewall->Zscaler ZPA,Technology->Network-Firewall_and_Media->Cisco-Firewall_and_Media,Technology->Network-Firewall_and_Media->Palo Alto",245794
SOC/SIEM Experts,Associate Business Analyst,BANGALORE,1,"Data Security->Public Key Infrastructure(PKI),Devops->Google Cloud Ptatform (GCP),IDAM->CA Siteminder(CA Identity Suite),IDAM->IBM Security Identity manager(ISIM),Infrastructure Security->Malware Analysis,Infrastructure Security->Symantec Endpoint(SEP),Network Security->Firewalls->Checkpoint,Network Security->Firewalls->Juniper-Firewalls,Network Security->Firewalls->Palo Alto,Network Security->Firewalls->Web Application Firewall(WAF),Security Incident and Event Management(SIEM)->Arcsight,Security Incident and Event Management(SIEM)->Logrythm,Security Incident and Event Management(SIEM)->QRadar,Security Incident and Event Management(SIEM)->RSA Envision,Security testing->Cloud Security,SOC,SOC->Security Monitoring,SOC->Security Operations Center(SOC/SIEM),Tools->Service Now->ServiceNow-Security,Tools->Splunk",245792
"Android, Mobile Device Testing, Python automation",Technology Analyst,BANGALORE,3,"Technology->Automated Testing->Selenium-Python,Technology->Mobile Development Platform->Android",245790
Enterprise AI Management Consultant,Consultant - Business Consulting,HYDERABAD,3,"Technology->AI-Data science->Databricks Machine Learning,Technology->AI-Data science->Data Science - Basic,Technology->AI-Data science->PYTHON,Technology->Cloud Integration->Azure Data Factory (ADF),Technology->Cloud Platform->AWS Data Analytics,Technology->Cloud Platform->Azure Analytics Services->Azure Databricks,Technology->Data Engineering->Databricks",245692
Mobile Testing Analyst,Quality Engineering Analyst,BANGALORE,3,Technology->Mobile Testing->Mobile Testing - ALL,245690
Consultant - Business Consulting (Life Sciences),Consultant - Business Consulting,PUNE                     ,3,"Domain->Healthcare->Regulatory Compliance & Standards,Domain->LifeSciences->Pharma Regulations->Computer Systems Validation (CSV),Foundational->Project Management->Project Management,Technology->Life Sciences->Regulatory Systems,Technology->Risk Management->Risk Management System",245686
Agentic AI Engineer,Technology Analyst,PUNE                     ,3,Technology->AI-Agentic AI->Agent Engineering,245609
GenAI Developer,Technology Analyst,BANGALORE,3,"Technology->AI-Agentic AI->Agent Engineering,Technology->AI-Generative AI->Prompt Engineering",245606
D365 Co pilot Consultant,Associate Consultant,BANGALORE,2,"Technology->Cloud Platform->Dynamics 365 CRM,Technology->AI-AI Hyperscalers->Azure Agentic AI Services",245408
Application Support Analyst,Technology Analyst,BANGALORE,4,"Technology->Application Support - Middleware->Application Support - Middleware,Technology->Architecture->Architecture - ITIL,Technology->Cloud Platform->GCP Devops,Technology->Database Administration->MS SQL Server->SQL Server,Technology->Infrastructure-Server Administration->Linux Admin->Unix",245094
CA,Associate Finance,BANGALORE,0,Domain->Finance->Accounting & Reporting,245002
Informatica PowerCenter Production Support Engineer,Technology Analyst,BANGALORE,3,Technology->Data Management - Data Integration->Informatica->Informatica - Informatica Power Center,244944
Informatica PC + IICS Production Support,Associate Consultant,HYDERABAD,2,"Technology->Data Management - Data Integration->Informatica->Informatica - Informatica Power Center,Technology->Data on Cloud - Datastore->Cloud based Integration Platforms->Informatica Intelligent Cloud services(IICS)",244609
AWS Bedrock / Azure OpenAI Developer,Associate Consultant,HYDERABAD,2,Technology->AI-Generative AI->Generative AI - Basic->closed models (azure open ai),244608
AWS Bedrock Developer + Python + Terraform,Associate Consultant,HYDERABAD,2,"Technology->Cloud Platform->Terraform,Technology->AI-Data science->PYTHON,Technology->AI-Generative AI->Generative AI - Basic->closed models (aws bedrock)",244605
OCI Admin Consultant,Associate Consultant,HYDERABAD,2,Technology->Oracle Cloud->OCI - Oracle Cloud Infrastructure,244448
Oracle Apps DBA,Associate Consultant,BANGALORE,2,Technology->Oracle eBS Technical->Oracle Apps DBA,244447
Peoplesoft Admin Consultant,Associate Consultant,BANGALORE,2,Technology->PeopleSoft->Sys Admin and DBA,244446
Core DBA Consultant (Golden Gate + Performance Tuning),Associate Consultant,BANGALORE,2,Technology->Oracle eBS Technical->Oracle Apps DBA,244445
Storage/Backup Admin,Technology Analyst,CHENNAI,4,"Storage->Brocade,Technology->Infrastructure-Storage-Administration->Cisco-Storage Admin->storage,Technology->Storage Administration->NetApp->storage,Technology->Storage Administration->EMC,Technology->Backup Administration->Backup Technologies",244333
Middleware/Mainframe Admin,Technology Analyst,CHENNAI,4,"Mainframes->MQSeries on Mainframe(Mainframe MQ),Middleware->IBM Websphere MQ Server(MQ)(WMQ),Middleware->Tomcat Servers,Middleware->Weblogic",244332
Windows/VMware/Active Directory Admin,Technology Analyst,PUNE                     ,4,"Technology->Server-OperatingSystemAdministration->Windows Server Admin,Technology->Universal Windows Platform->Universal Windows Platform,Technology->Server-Virtualization->Vmware-ESX->Vmware,Technology->Server-Virtualization->Vmware-vCloud->Vmware,Technology->EUC-AppVirtualization->Vmware ThinApp,Technology->Server-Virtualization->Vmware-vSphere",244330
AIX/Linux Admin,Technology Analyst,HYDERABAD,4,"Linux,Unix Admin->Linux Administration,Technology->Open System->AIX,Technology->Server-OperatingSystemAdministration->AIX - OperatingSystemAdministration,Technology->Infrastructure-Server Administration->Unix Server administration (HP-UX,IBM-AIX, Sun Solaris, Redhat Linux)",244328
.Net /Dot Net Full Stack Developer,Technology Analyst,BANGALORE,3,"Technology->UI and Markup Language->Angular X (2, 4, 5, 6, 7,8,9,11,12,14,18,20)->Angular 2,Technology->Reactive Programming->react JS,Technology->Microsoft Technologies->.NET Frameworks",244310
Java Full Stack Developer,Technology Analyst,BANGALORE,3,"Technology->Full stack->Java Full stack,Technology->Java->Core Java,Technology->Reactive Programming->react JS,Technology->UI and Markup Language->Angular X (2, 4, 5, 6, 7,8,9,11,12,14,18,20)->Angular 2",244309
JDE Sales and Distribution Consultant,Associate Consultant,PUNE                     ,2,Technology->JD Edwards->JDE - Tools,244276
JDE Finance Consultant,Associate Consultant,PUNE                     ,2,Technology->JD Edwards->JDE Functional - Financials,244267
JDE CnC Consultant,Associate Consultant,PUNE                     ,2,Technology->JD Edwards->JDE - Tools,244265
JDE Technical Developer,Associate Consultant,PUNE                     ,2,Technology->JD Edwards->JDE - Tools,244263
Peoplesoft Finance Technical Consultant,Associate Consultant,BANGALORE,2,Technology->PeopleSoft->Peoplesoft Financials,244257
Gen AI LLMOps Engineer,Associate Consultant,BANGALORE,2,Technology->AI-Generative AI->Generative AI for Data Analytics,244109
Computer Vision Engineer,Associate Consultant,BANGALORE,2,Technology->AI-Data science->Computer Vision,244107
Alteryx Developer,Associate Business Analyst,BANGALORE,2,Technology->DataAnalytics->Alteryx,244106
MLOps Engineer,Associate Consultant,BANGALORE,2,"Analytics->Data Science,Technology->AI-Data science->Data Science - Basic,Technology->AI-Generative AI->Generative AI - Basic",244053
Python ML Engineer,Associate Business Analyst,BANGALORE,2,"Technology->AI-Data science->Machine Learning,Technology->AI-Data science->PYTHON",244051
